country,segment,sales_rep_id,sales_team_name,jobs_90d,rev_per_job,revenue_90d,pqr_90d
US,NAM,25617,US-NAM-PSE-RMT-2,23295,4.6,107441.1,96113.1
US,NAM,25638,US-NAM-RHMS-RMT-7,137930,2.1,293315.6,301644.7
US,NAM,25639,US-NAM-HC-RMT-5,25180,3.2,80370.0,91056.9
US,NAM,25643,US-NAM-LTL-RMT-6,39401,11.6,458270.9,334049.4
US,NAM,25646,US-NAM-PSE-RMT-3,36529,1.6,57279.5,70217.0
US,NAM,25652,US-NAM-LTL-RMT-2,43934,7.3,322537.7,128343.6
US,NAM,27360,US-NAM-SA-RMT-5,36082,2.6,92401.5,54045.6
US,NAM,27619,US-NAM-SA-RMT-2,35942,5.3,191815.3,139900.6
US,NAM,27637,US-NAM-RPO-RMT-1,321143,0.8,244714.2,254719.2
US,NAM,27767,US-NAM-HC-RMT-3,87138,0.4,35977.7,41862.2
US,NAM,28524,US-NAM-PSE-RMT-2,31624,2.8,88208.1,96617.9
US,NAM,29577,US-NAM-LTL-RMT-8,25945,10.7,277695.9,203981.7
US,NAM,29580,US-NAM-SA-RMT-5,73976,2.2,164591.1,102061.8
US,NAM,29614,US-NAM-LTL-RMT-7,64280,5.4,348544.7,265877.4
US,NAM,29651,US-NAM-HC-RMT-7,62615,2.2,137992.0,119942.7
US,NAM,29653,US-NAM-HC-RMT-6,72043,1.2,86018.9,50699.5
US,NAM,29893,US-NAM-LTL-RMT-2,50194,3.5,176660.6,206803.5
US,NAM,29938,US-NAM-PSE-RMT-2,13298,14.3,189530.6,171573.1
US,NAM,29950,US-NAM-SA-RMT-5,71137,0.6,44102.5,25965.9
US,NAM,29952,US-NAM-RHMS-RMT-2,207708,3.6,738197.2,610520.4
US,NAM,30006,US-NAM-SA-RMT-3,98164,0.4,36344.8,25897.1
US,NAM,30167,US-NAM-LTL-RMT-3,90650,5.1,463810.7,262353.8
US,NAM,30173,US-NAM-RHMS-RMT-5,46673,9.4,440915.0,117930.9
US,NAM,30175,US-NAM-LTL-RMT-3,68940,4.0,275408.2,321068.9
US,NAM,30213,US-NAM-LTL-RMT-3,37747,32.8,1238869.2,780343.3
US,NAM,30214,US-NAM-HC-RMT-1,67739,0.3,19539.1,23866.5
US,NAM,30216,US-NAM-HC-RMT-5,89432,1.7,150159.7,119333.1
US,NAM,30217,US-NAM-RPO-RMT-1,33771,0.7,25159.0,22091.8
US,NAM,30218,US-NAM-RPO-RMT-1,89440,1.8,157464.3,118701.2
US,NAM,30240,US-NAM-PSE-RMT-1,17597,10.1,177884.3,133806.5
US,NAM,30458,US-NAM-RHMS-RMT-3,42399,6.7,286184.8,233198.7
US,NAM,30464,US-NAM-HC-RMT-2,29408,1.8,52140.1,85763.2
US,NAM,30477,US-NAM-HC-RMT-2,123327,1.0,123830.3,157449.6
US,NAM,30550,US-NAM-SA-RMT-4,55190,0.2,12344.0,20653.3
US,NAM,30830,US-NAM-SA-RMT-5,95262,0.1,11111.4,7537.8
US,NAM,31076,US-NAM-RHMS-RMT-2,150006,0.7,111208.5,86311.3
US,NAM,31661,US-NAM-HC-RMT-7,123203,0.6,79579.2,73324.2
US,NAM,32447,US-NAM-LTL-RMT-3,39182,4.3,168102.6,50875.7
US,NAM,32476,US-NAM-PSE-RMT-ACC-1,78481,1.1,83972.2,38688.0
US,NAM,32828,US-NAM-PSE-RMT-ACC-1,78193,1.5,114200.4,63868.7
US,NAM,32875,US-NAM-PSE-RMT-3,24267,5.0,121857.2,130022.1
US,NAM,34838,US-NAM-LTL-RMT-2,58916,5.8,340110.2,257841.3
US,NAM,36034,US-NAM-SA-RMT-3,200841,0.4,89306.8,95416.3
US,NAM,36414,US-NAM-RHMS-RMT-2,240587,0.7,179515.6,127773.9
US,NAM,38024,US-NAM-RHMS-RMT-3,206632,0.8,171359.7,147280.8
US,NAM,39140,US-NAM-RHMS-RMT-1,90128,4.1,366540.5,207563.8
US,NAM,39352,US-NAM-LTL-RMT-5,90014,1.5,131425.7,118761.7
US,NAM,39534,US-NAM-RHMS-RMT-5,44007,4.5,198215.1,276099.1
US,NAM,40905,US-NAM-HC-RMT-4,109167,1.2,126180.5,113969.2
US,NAM,40906,US-NAM-RHMS-RMT-6,58555,3.2,187804.8,118337.6
US,NAM,40909,US-NAM-RHMS-RMT-2,216882,2.3,497464.2,397392.4
US,NAM,40910,US-NAM-HC-RMT-1,100758,2.8,285182.7,258714.1
US,NAM,41373,US-NAM-PSE-RMT-3,57517,2.3,132955.6,118659.5
US,NAM,41617,US-NAM-PSE-RMT-3,16093,10.1,162138.7,160141.7
US,NAM,41622,US-NAM-SA-RMT-1,42471,3.4,145558.4,83561.2
US,NAM,41659,US-NAM-PSE-RMT-2,45077,4.7,209712.3,158076.0
US,NAM,41718,US-NAM-PSE-RMT-4,38564,6.6,254153.6,239866.2
US,NAM,41741,US-NAM-PSE-RMT-1,41788,10.8,452841.0,312698.4
US,NAM,41836,US-NAM-PSE-RMT-3,15701,12.5,196775.0,179666.0
US,NAM,41845,US-NAM-PSE-RMT-2,72804,1.5,109460.8,113456.3
US,NAM,41846,US-NAM-PSE-RMT-2,44449,5.7,254170.1,210277.8
US,NAM,42422,US-NAM-PSE-RMT-2,30190,6.6,199802.5,120622.0
US,NAM,42472,US-NAM-PSE-RMT-4,72538,1.8,129354.6,161989.7
US,NAM,42570,US-NAM-PSE-RMT-4,55668,4.3,239127.0,198093.4
US,NAM,42639,US-NAM-PSE-RMT-3,18959,9.8,184931.3,120436.2
US,NAM,43019,US-NAM-PSE-RMT-1,122727,1.5,189029.6,132620.0
US,NAM,44012,US-NAM-RHMS-RMT-4,242661,1.1,266805.8,194256.2
US,NAM,45233,US-NAM-PSE-RMT-4,298931,0.5,145946.4,138062.6
US,NAM,45264,US-NAM-HC-RMT-7,120562,0.8,98325.0,64763.5
US,NAM,45338,US-NAM-PSE-RMT-3,32121,6.2,197687.0,192227.0
US,NAM,45457,US-NAM-HC-RMT-6,128414,0.4,50248.6,41370.1
US,NAM,46240,US-NAM-RHMS-RMT-2,87803,3.6,312311.8,318267.8
US,NAM,46460,US-NAM-RHMS-RMT-7,158010,3.5,545263.9,351099.3
US,NAM,46565,US-NAM-RHMS-RMT-6,67250,0.7,50040.8,52455.8
US,NAM,46698,US-NAM-RHMS-RMT-5,76298,1.5,114678.2,105226.8
US,UMM,895,US-MUpper-DE-NYC-5,21154,20.7,437719.0,419651.4
US,UMM,910,US-MUpper-DE-STM-3,18652,28.3,528578.3,427454.3
US,UMM,952,US-MUpper-DE-NYC-2,15559,19.4,301204.2,208737.3
US,UMM,1191,US-MUpper-DE-STM-1,22604,16.4,371171.2,270907.4
US,UMM,1222,US-MUpper-DE-STM-4,13551,22.1,299361.8,268334.4
US,UMM,2468,US-MUpper-DE-STM-2,16753,38.1,638104.5,392794.4
US,UMM,2861,US-MUpper-DE-STM-5,14287,41.9,598129.7,493604.3
US,UMM,3071,US-MUpper-DE-NYC-4,29736,29.1,866604.1,748816.1
US,UMM,3111,US-MUpper-DE-STM-4,22282,18.1,403981.0,312152.7
US,UMM,3559,US-MUpper-DE-STM-2,18339,26.5,486027.2,437147.7
US,UMM,3726,US-MUpper-DE-NYC-1,17970,26.8,481728.8,333749.2
US,UMM,3904,US-MUpper-DE-STM-1,19312,17.3,333675.8,334883.7
US,UMM,4068,US-MUpper-DE-STM-5,17508,22.2,388237.0,302287.6
US,UMM,4431,US-MUpper-DE-NYC-2,16513,42.3,697788.7,523770.4
US,UMM,4795,US-MUpper-DE-NYC-3,14213,21.7,308191.7,344968.4
US,UMM,4805,US-MUpper-DE-NYC-1,19719,20.2,398533.3,310541.1
US,UMM,5421,US-MUpper-DE-STM-5,20831,16.2,338299.1,260082.1
US,UMM,6138,US-MUpper-DE-NYC-2,14471,28.6,414199.7,369722.1
US,UMM,6294,US-MUpper-DE-STM-6,19315,23.9,461508.7,336863.6
US,UMM,8086,US-MUpper-DE-ATX-1,18265,28.1,512633.3,422640.0
US,UMM,8227,US-MUpper-DE-ATX-2,14813,25.4,375709.7,354765.8
US,UMM,8374,US-MUpper-DE-ATL-1,15830,24.5,388279.4,341635.4
US,UMM,9296,US-MUpper-DE-STM-4,18053,27.0,487528.1,445755.4
US,UMM,9399,US-MUpper-DE-STM-4,13122,15.3,200528.7,174115.4
US,UMM,10674,US-MUpper-DE-STM-3,14618,32.9,480551.8,363220.7
