country,segment,sales_rep_id,sales_team_name,pcid_count,impact_calls_90d,impact_calls_per_account,segment_avg_coverage,too_big
CA,M,6316,CA-M-DE-TOR-2,101,164,1,0.72,false
CA,M,8381,CA-M-DE-TOR-1,107,160,1,0.72,false
CA,M,9085,CA-M-DE-TOR-1,101,150,1,0.72,false
CA,M,9401,CA-M-DE-TOR-2,109,168,1,0.72,false
CA,M,9973,CA-M-DE-TOR-2,109,179,1,0.72,false
CA,M,11152,CA-M-DE-TOR-4,105,153,1,0.72,false
CA,M,12156,CA-M-DE-TOR-1,106,148,1,0.72,false
CA,M,13561,CA-M-DE-MTL-1,92,84,0,0.72,true
CA,M,13570,CA-M-ACC-TOR-1,200,69,0,0.72,true
CA,M,14890,CA-M-DE-TOR-1,109,169,1,0.72,false
CA,M,14892,CA-M-DE-TOR-4,111,150,1,0.72,false
CA,M,16354,CA-M-DE-MTL-2,95,115,1,0.72,false
CA,M,16715,CA-M-DE-TOR-4,101,73,0,0.72,false
CA,M,17256,CA-M-DE-TOR-4,108,127,1,0.72,false
CA,M,18928,CA-M-DE-MTL-2,105,20,0,0.72,true
CA,M,19002,CA-M-DE-MTL-1,102,120,1,0.72,false
CA,M,19359,CA-M-DE-TOR-1,108,142,1,0.72,false
CA,M,19535,CA-M-DE-TOR-4,109,99,0,0.72,true
CA,M,19549,CA-M-DE-TOR-4,113,150,1,0.72,false
CA,M,22888,CA-M-SA-TOR-1,71,180,2,0.72,false
CA,M,23442,CA-M-DE-TOR-2,109,146,1,0.72,false
CA,M,23981,CA-M-DE-TOR-1,110,168,1,0.72,false
CA,M,24622,CA-M-DE-TOR-2,104,89,0,0.72,false
CA,M,26765,CA-M-DE-TOR-2,108,195,1,0.72,false
CA,M,28681,CA-M-DE-MTL-2,102,105,1,0.72,false
CA,M,28897,CA-M-DE-TOR-4,103,156,1,0.72,false
CA,M,29046,CA-M-DE-TOR-2,104,114,1,0.72,false
CA,M,29094,CA-M-ACC-TOR-1,195,123,0,0.72,true
CA,M,30207,CA-M-ACC-TOR-1,194,79,0,0.72,true
CA,M,30235,CA-M-ACC-TOR-1,192,95,0,0.72,true
CA,M,30251,CA-M-DE-TOR-4,110,166,1,0.72,false
CA,M,30945,CA-M-DE-MTL-1,96,92,0,0.72,true
CA,M,31197,CA-M-DE-TOR-2,110,135,1,0.72,false
CA,M,31712,CA-M-SA-TOR-1,67,152,2,0.72,false
CA,M,31714,CA-M-DE-TOR-2,108,171,1,0.72,false
CA,M,31789,CA-M-DE-MTL-2,99,87,0,0.72,true
CA,M,32085,CA-M-ACC-TOR-1,186,141,0,0.72,true
CA,M,32867,CA-M-DE-MTL-1,99,89,0,0.72,true
CA,M,33605,CA-M-ACC-TOR-1,192,89,0,0.72,true
CA,M,33712,CA-M-DE-MTL-2,93,81,0,0.72,true
CA,M,35195,CA-M-SA-TOR-1,63,168,2,0.72,false
CA,M,38275,CA-M-DE-MTL-2,87,76,0,0.72,true
CA,M,39535,CA-M-DE-TOR-1,106,152,1,0.72,false
CA,M,44450,CA-M-DE-TOR-2,105,173,1,0.72,false
CA,NAM,1778,CA-NAM-B2B-TOR-2,11,0,0,0.0,false
CA,NAM,2277,CA-NAM-B2B-TOR-2,13,0,0,0.0,false
CA,NAM,2336,CA-NAM-DE-MTL-1,8,0,0,0.0,false
CA,NAM,3143,CA-NAM-SA-TOR-1,20,0,0,0.0,false
CA,NAM,3771,CA-NAM-B2B-TOR-1,10,0,0,0.0,false
CA,NAM,3773,CA-NAM-DE-MTL-1,17,1,0,0.0,true
CA,NAM,4789,CA-NAM-B2B-TOR-2,10,0,0,0.0,false
CA,NAM,5374,CA-NAM-DE-MTL-1,15,0,0,0.0,false
CA,NAM,5774,CA-NAM-B2B-TOR-1,13,2,0,0.0,false
CA,NAM,6313,CA-NAM-B2B-TOR-1,11,0,0,0.0,false
CA,NAM,6314,CA-NAM-HC-TOR-1,35,0,0,0.0,false
CA,NAM,8414,CA-NAM-DE-MTL-1,11,0,0,0.0,true
CA,NAM,11030,CA-NAM-B2B-WEST-1,14,0,0,0.0,false
CA,NAM,16304,CA-NAM-DE-MTL-1,15,0,0,0.0,false
CA,NAM,16724,CA-NAM-B2B-WEST-1,15,0,0,0.0,false
CA,NAM,18206,CA-NAM-B2B-WEST-1,16,0,0,0.0,false
CA,NAM,18698,CA-NAM-B2B-WEST-1,11,0,0,0.0,false
CA,NAM,18953,CA-NAM-DE-MTL-1,16,0,0,0.0,true
CA,NAM,18956,CA-NAM-DE-MTL-1,15,0,0,0.0,false
CA,NAM,24466,CA-NAM-B2B-WEST-1,13,0,0,0.0,false
CA,NAM,31293,CA-NAM-B2B-TOR-2,12,0,0,0.0,true
CA,UMM,1974,CA-MUpper-DE-TOR-1,47,37,0,1.0,true
CA,UMM,6087,CA-MUpper-DE-TOR-1,49,94,1,1.0,false
CA,UMM,6476,CA-MUpper-DE-TOR-1,51,104,2,1.0,false
CA,UMM,14487,CA-MUpper-DE-TOR-1,44,41,0,1.0,false
CA,UMM,15982,CA-MUpper-DE-TOR-1,47,112,2,1.0,false
CA,UMM,18224,CA-MUpper-DE-TOR-1,46,92,2,1.0,false
CA,UMM,23978,CA-MUpper-DE-TOR-1,44,64,1,1.0,false
CA,UMM,25985,CA-MUpper-DE-TOR-1,47,81,1,1.0,false
CA,UMM,26599,CA-MUpper-DE-TOR-1,47,19,0,1.0,true
CA,UMM,32629,CA-MUpper-DE-TOR-1,45,76,1,1.0,true
DACH,ACC,3431,DE-NAM-ACCDE-DUSS-1,57,79,1,1.02,false
DACH,ACC,7140,DE-M-ACCDE-DUB-1,312,1,0,1.02,true
DACH,ACC,7552,DE-NAM-ACCDE-DUSS-1,59,9,0,1.02,true
DACH,ACC,7891,DE-M-ACCDE-DUSS-2,118,154,1,1.02,false
DACH,ACC,7897,DE-M-ACCDE-DUSS-2,117,108,0,1.02,true
DACH,ACC,8582,CH-NAM-ACCDE-ZRH-1,39,40,1,1.02,false
DACH,ACC,8644,CH-NAM-ACCDE-ZRH-1,36,10,0,1.02,false
DACH,ACC,9591,DE-M-ACCDE-DUSS-1,151,175,1,1.02,false
DACH,ACC,10153,DE-M-ACCDE-DUSS-2,114,16,0,1.02,true
DACH,ACC,11271,CH-M-ACCDE-ZRH-1,139,102,0,1.02,true
DACH,ACC,12566,DE-M-ACCDE-DUSS-1,167,240,1,1.02,false
DACH,ACC,13497,DE-NAM-ACCDE-DUSS-1,53,74,1,1.02,false
DACH,ACC,14875,DE-M-ACCDE-DUSS-4,84,268,3,1.02,false
DACH,ACC,15322,DE-M-ACCDE-DUB-1,111,171,1,1.02,false
DACH,ACC,15806,DE-M-ACCDE-DUSS-2,132,217,1,1.02,false
DACH,ACC,15862,DE-M-ACCDE-DUSS-4,84,199,2,1.02,false
DACH,ACC,16137,DE-M-ACCDE-DUB-2,126,202,1,1.02,false
DACH,ACC,17415,DE-M-ACCDE-DUSS-1,140,251,1,1.02,false
DACH,ACC,17416,DE-M-ACCDE-DUB-1,163,204,1,1.02,true
DACH,ACC,17417,DE-M-ACCDE-DUSS-1,142,104,0,1.02,true
DACH,ACC,17949,DE-M-ACCDE-DUSS-2,110,130,1,1.02,false
DACH,ACC,17950,DE-M-ACCDE-DUSS-2,162,231,1,1.02,false
DACH,ACC,18645,CH-M-ACCDE-ZRH-1,114,205,1,1.02,false
DACH,ACC,18832,DE-NAM-ACCDE-DUSS-1,50,80,1,1.02,false
DACH,ACC,20186,DE-M-ACCDE-DUSS-2,141,129,0,1.02,true
DACH,ACC,24361,CH-NAM-ACCDE-ZRH-1,28,32,1,1.02,true
DACH,ACC,24602,DE-NAM-ACCDE-DUSS-1,30,18,0,1.02,false
DACH,ACC,25619,DE-M-ACCDE-DUB-2,141,,,1.02,
DACH,ACC,26620,DE-M-ACCDE-DUB-1,171,204,1,1.02,false
DACH,ACC,26631,DE-M-ACCDE-DUB-1,172,323,1,1.02,false
DACH,ACC,30258,CH-NAM-ACCDE-ZRH-1,35,3,0,1.02,true
DACH,ACC,34377,DE-M-ACCDE-DUSS-1,126,218,1,1.02,false
DACH,ACC,36514,CH-NAM-ACCDE-ZRH-1,39,40,1,1.02,true
DACH,ACC,42818,CH-M-ACCDE-ZRH-1,56,34,0,1.02,false
DACH,ACC,42825,CH-M-ACCDE-ZRH-1,54,164,3,1.02,false
DACH,ACC,42826,CH-M-ACCDE-ZRH-1,73,152,2,1.02,false
DACH,ACC,42970,CH-M-ACCDE-ZRH-1,46,175,3,1.02,false
DACH,ACC,43788,CH-M-ACCDE-ZRH-1,66,202,3,1.02,false
DACH,ACC,44294,DE-M-ACCDE-DUSS-3,325,256,0,1.02,true
DACH,ACC,44444,DE-M-ACCDE-DUB-1,133,187,1,1.02,true
DACH,ACC,44710,DE-M-ACCDE-DUB-2,129,199,1,1.02,false
