country,segment,sales_rep_id,team,pcid_count,revenue_90d,pqr_90d,rev_growth_pct,jobs_90d,rev_per_job,impact_calls_90d,impact_coverage
CA,UMM,26599,CA-MUpper-DE-TOR-1,47,189731.3,151935.2,0.2,9662,19.6,19,0
CA,UMM,32629,CA-MUpper-DE-TOR-1,45,137316.4,140788.8,0.0,12693,10.8,76,1
DACH,ACC,3431,DE-NAM-ACCDE-DUSS-1,57,53082.6,25133.2,1.0,31385,1.7,79,1
DACH,ACC,7140,DE-M-ACCDE-DUB-1,312,43634.4,22156.9,1.0,14191,3.1,1,0
DACH,ACC,7552,DE-NAM-ACCDE-DUSS-1,59,42889.7,21195.5,1.0,22741,1.9,9,0
DACH,ACC,7891,DE-M-ACCDE-DUSS-2,118,52677.9,17712.9,1.0,7861,6.7,154,1
DACH,ACC,7897,DE-M-ACCDE-DUSS-2,117,10183.6,10004.9,0.0,8566,1.2,108,0
DACH,ACC,8582,CH-NAM-ACCDE-ZRH-1,39,26120.1,5777.3,1.0,40364,0.6,40,1
DACH,ACC,8644,CH-NAM-ACCDE-ZRH-1,36,38163.3,14578.6,1.0,22676,1.7,10,0
DACH,ACC,9591,DE-M-ACCDE-DUSS-1,151,35497.3,13220.6,1.0,12316,2.9,175,1
DACH,ACC,10153,DE-M-ACCDE-DUSS-2,114,31195.3,23759.1,0.3,4620,6.8,16,0
DACH,ACC,11271,CH-M-ACCDE-ZRH-1,139,31003.9,17795.9,0.7,17725,1.7,102,0
DACH,ACC,12566,DE-M-ACCDE-DUSS-1,167,12909.4,11641.6,0.1,11721,1.1,240,1
DACH,ACC,13497,DE-NAM-ACCDE-DUSS-1,53,18965.7,9970.7,0.9,17194,1.1,74,1
DACH,ACC,14875,DE-M-ACCDE-DUSS-4,84,33141.6,5370.1,1.0,2536,13.1,268,3
DACH,ACC,15322,DE-M-ACCDE-DUB-1,111,25087.3,22410.3,0.1,4456,5.6,171,1
DACH,ACC,15806,DE-M-ACCDE-DUSS-2,132,18816.8,8825.3,1.0,7473,2.5,217,1
DACH,ACC,15862,DE-M-ACCDE-DUSS-4,84,9380.7,7110.9,0.3,2974,3.2,199,2
DACH,ACC,16137,DE-M-ACCDE-DUB-2,126,66486.8,38865.9,0.7,8853,7.5,202,1
DACH,ACC,17415,DE-M-ACCDE-DUSS-1,140,24383.2,23942.0,0.0,97493,0.3,251,1
DACH,ACC,17416,DE-M-ACCDE-DUB-1,163,30162.3,30272.8,0.0,29168,1.0,204,1
DACH,ACC,17417,DE-M-ACCDE-DUSS-1,142,23515.1,15512.2,0.5,10786,2.2,104,0
DACH,ACC,17949,DE-M-ACCDE-DUSS-2,110,11583.8,7161.3,0.6,4258,2.7,130,1
DACH,ACC,17950,DE-M-ACCDE-DUSS-2,162,25632.9,10633.9,1.0,83705,0.3,231,1
DACH,ACC,18645,CH-M-ACCDE-ZRH-1,114,16035.6,10221.8,0.6,10619,1.5,205,1
DACH,ACC,18832,DE-NAM-ACCDE-DUSS-1,50,9875.4,16207.3,-0.4,20504,0.5,80,1
DACH,ACC,20186,DE-M-ACCDE-DUSS-2,141,36034.3,19425.3,0.9,53617,0.7,129,0
DACH,ACC,24361,CH-NAM-ACCDE-ZRH-1,28,18208.5,18306.7,0.0,11153,1.6,32,1
DACH,ACC,24602,DE-NAM-ACCDE-DUSS-1,30,2362.9,11147.9,-0.5,18030,0.1,18,0
DACH,ACC,25619,DE-M-ACCDE-DUB-2,141,48207.6,9472.9,1.0,13439,3.6,,
DACH,ACC,26620,DE-M-ACCDE-DUB-1,171,67925.6,40959.2,0.7,1923955,0.0,204,1
DACH,ACC,26631,DE-M-ACCDE-DUB-1,172,25366.5,10572.7,1.0,17206,1.5,323,1
DACH,ACC,30258,CH-NAM-ACCDE-ZRH-1,35,30677.2,52307.8,-0.4,31074,1.0,3,0
DACH,ACC,34377,DE-M-ACCDE-DUSS-1,126,17777.4,10311.9,0.7,10078,1.8,218,1
DACH,ACC,36514,CH-NAM-ACCDE-ZRH-1,39,18977.3,21457.0,-0.1,27606,0.7,40,1
DACH,ACC,42818,CH-M-ACCDE-ZRH-1,56,26562.3,9904.5,1.0,9636,2.8,34,0
DACH,ACC,42825,CH-M-ACCDE-ZRH-1,54,37414.3,29560.9,0.3,5735,6.5,164,3
DACH,ACC,42826,CH-M-ACCDE-ZRH-1,73,37072.2,24996.9,0.5,5969,6.2,152,2
DACH,ACC,42970,CH-M-ACCDE-ZRH-1,46,13111.5,6768.2,0.9,2853,4.6,175,3
DACH,ACC,43788,CH-M-ACCDE-ZRH-1,66,17887.2,8242.0,1.0,5360,3.3,202,3
DACH,ACC,44294,DE-M-ACCDE-DUSS-3,325,28686.4,15448.5,0.9,5165,5.6,256,0
DACH,ACC,44444,DE-M-ACCDE-DUB-1,133,21370.8,21970.2,0.0,8035,2.7,187,1
DACH,ACC,44710,DE-M-ACCDE-DUB-2,129,33525.1,10283.7,1.0,5830,5.8,199,1
DACH,ACC,44716,DE-M-ACCDE-DUSS-4,93,6135.9,10354.9,-0.4,4247,1.4,282,3
DACH,ACC,44719,CH-M-ACCDE-ZRH-1,87,16080.1,20032.4,-0.2,5312,3.0,186,2
DACH,ACC,44720,DE-M-ACCDE-DUB-2,104,17618.7,18934.9,-0.1,4995,3.5,239,2
DACH,ACC,44722,DE-M-ACCDE-DUSS-3,269,39434.1,22639.6,0.7,4976,7.9,206,0
DACH,ACC,45423,DE-M-ACCDE-DUB-1,134,56873.6,48004.9,0.2,6112,9.3,121,0
DACH,ACC,45427,DE-M-ACCDE-DUSS-4,74,5118.8,8405.5,-0.4,1671,3.1,163,2
DACH,ACC,45894,DE-M-ACCDE-DUB-2,119,21857.6,17905.3,0.2,7095,3.1,,
DACH,ACC,45896,DE-M-ACCDE-DUSS-2,101,9060.0,5101.1,0.8,4286,2.1,,
